Model,R2,MAE,RMSE
SVM,0.41105007175048525,86.4207565953282,136.56259273533715
Random_Forest,0.9453136041194861,24.85551752493287,41.613305805532775
Decision_Tree,0.8940910751631747,33.69346950517836,57.91070427097182
KNN,0.8949224034672523,36.36662830840046,57.682972500172845
Naive_Bayes,0.38806679599642624,104.77922641269498,139.20171196939012
ANN,0.9038809867516995,37.99367958514714,55.169267638439514
